ID,T_pred,Delay_Flag,Delay_Days,Unit Price,vendor_hist_volume,country_hist_delay_rate,Country,T_pred_quarter,vendor_hist_delay_median,Brand,weight_is_numeric,Fulfill Via,freight_is_numeric,Molecule/Test Type,vendor_hist_delay_rate,Manufacturing Site,First Line Designation,is_rdc_fulfillment,po_sent_is_date,Dosage Form,Forecast_Horizon_Days,PQ_to_PO_Days,T_pred_year,T_pred_month,Dosage,Unit of Measure (Per Pack),Shipment Mode,pq_first_sent_is_date,site_hist_delay_rate,country_hist_delay_median,Line Item Value,Product Group,Pack Price,is_pre_pq_process,Line Item Insurance (USD),Sub Classification,Scheduled_Transit_Days,T_pred_dayofweek,country_hist_volume,Vendor INCO Term,Vendor,Line Item Quantity
62168,2015-05-11,0,0,0.3784364357202451,181.0,0.10810810810810811,South Africa,2,0.0,Generic,0,Direct Drop,0,Tenofovir Disoproxil Fumarate,0.0,Mylan (formerly Matrix) Nashik,No,0,1,Tablet,1,242.0,2015,5,300mg,30,Truck,1,0.16157556270096463,0.0,3.7483269127573564,ARV,2.695977619867941,0,0.039220713153281295,Adult,1,0,1036.0,DDP,PHARMACY DIRECT,1.3862943611198906
59917,2015-05-11,0,0,0.06765864847381481,181.0,0.10810810810810811,South Africa,2,0.0,Generic,0,Direct Drop,0,Abacavir,0.0,"Aurobindo Unit III, India",No,0,1,Oral solution,1,242.0,2015,5,20mg/ml,240,Truck,1,0.18821379625399726,0.0,3.9913885608088866,ARV,2.9290581402859983,0,0.04879016416943201,Pediatric,1,0,1036.0,DDP,PHARMACY DIRECT,1.3862943611198906
19146,2015-05-11,0,0,0.26236426446749106,181.0,0.10810810810810811,South Africa,2,0.0,Generic,0,Direct Drop,0,Zidovudine,0.0,"Aurobindo Unit III, India",No,0,1,Tablet,1,242.0,2015,5,300mg,60,Truck,1,0.18821379625399726,0.0,5.295062073827364,ARV,2.946016681308058,0,0.18232155679395465,Adult,1,0,1036.0,DDP,PHARMACY DIRECT,2.4849066497880004
27430,2015-05-11,0,0,0.31481073984003355,181.0,0.10810810810810811,South Africa,2,0.0,Generic,0,Direct Drop,0,Didanosine,0.0,"Aurobindo Unit III, India",No,0,1,Delayed-release capsules,1,242.0,2015,5,250mg,30,Truck,1,0.18821379625399726,0.0,3.527830032595521,ARV,2.4865719291070616,0,0.0295588022415444,Adult,1,0,1036.0,DDP,PHARMACY DIRECT,1.3862943611198906
67666,2015-05-11,0,0,0.173953307123438,181.0,0.10810810810810811,South Africa,2,0.0,Generic,0,Direct Drop,0,Efavirenz,0.0,"Aurobindo Unit III, India",No,0,1,Capsule,1,242.0,2015,5,200mg,90,Truck,1,0.18821379625399726,0.0,5.325592008682918,ARV,2.8925915146344776,0,0.1906203596086497,Pediatric,1,0,1036.0,DDP,PHARMACY DIRECT,2.5649493574615367
15298,2015-05-11,0,0,0.3852624007906449,181.0,0.10810810810810811,South Africa,2,0.0,Generic,0,Direct Drop,0,Didanosine,0.0,"Aurobindo Unit III, India",No,0,1,Delayed-release capsules,1,242.0,2015,5,400mg,30,Truck,1,0.18821379625399726,0.0,4.610456190417329,ARV,2.7226103524335397,0,0.09531017980432487,Adult,1,0,1036.0,DDP,PHARMACY DIRECT,2.0794415416798357
60105,2015-05-11,0,0,0.5481214085096876,181.0,0.10810810810810811,South Africa,2,0.0,Generic,0,Direct Drop,0,Emtricitabine/Tenofovir Disoproxil Fumarate,0.0,"Aurobindo Unit III, India",No,0,1,Tablet - FDC,1,242.0,2015,5,200/300mg,30,Truck,1,0.18821379625399726,0.0,4.197051560414364,ARV,3.1280754605417043,0,0.06765864847381481,Adult,1,0,1036.0,DDP,PHARMACY DIRECT,1.3862943611198906
62603,2015-05-11,0,0,0.5822156198526637,181.0,0.10810810810810811,South Africa,2,0.0,Prezista,0,Direct Drop,0,Darunavir,0.0,"Janssen-Cilag, Latina, IT",No,0,1,Tablet,1,242.0,2015,5,600mg,60,Truck,1,0.0,0.0,3.873905683315018,ARV,3.873905683315018,0,0.04879016416943201,Adult,1,0,1036.0,DDP,PHARMACY DIRECT,0.6931471805599453
60816,2015-05-11,0,0,0.5822156198526637,181.0,0.10810810810810811,South Africa,2,0.0,Prezista,0,Direct Drop,0,Darunavir,0.0,"Janssen-Cilag, Latina, IT",No,0,1,Tablet,1,242.0,2015,5,600mg,60,Truck,1,0.0,0.0,4.958569771792903,ARV,3.873905683315018,0,0.13976194237515868,Adult,1,0,1036.0,DDP,PHARMACY DIRECT,1.3862943611198906
33190,2015-05-11,0,0,0.10436001532424277,181.0,0.10810810810810811,South Africa,2,0.0,Generic,0,Direct Drop,0,Lamivudine,0.0,"Aurobindo Unit III, India",No,0,1,Tablet,1,242.0,2015,5,150mg,60,Truck,1,0.18821379625399726,0.0,3.035914063186823,ARV,2.0294631718735947,0,0.019802627296179712,Adult,1,0,1036.0,DDP,PHARMACY DIRECT,1.3862943611198906
38955,2015-05-12,0,0,0.9555114450274363,319.0,0.16448152562574495,Nigeria,2,0.0,Uni-Gold,1,Direct Drop,1,"HIV 1/2, Uni-Gold HIV Kit",0.003134796238244514,"Trinity Biotech, Plc",Yes,0,1,Test kit,31,8.0,2015,5,,20,Air,1,0.0030864197530864196,-10.0,12.898021608514071,HRDT,3.4965075614664802,0,6.155367518377918,HIV test,31,1,839.0,EXW,"Trinity Biotech, Plc",9.43236329562169
64208,2015-05-13,0,0,0.2776317365982795,230.0,0.008064516129032258,Vietnam,2,0.0,Generic,0,Direct Drop,0,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,0.004347826086956522,Hetero Unit III Hyderabad IN,No,0,1,Tablet - FDC,113,29.0,2015,5,600/300/300mg,30,Air,1,0.15733333333333333,0.0,11.779074864459474,ARV,2.3513752571634776,0,5.0407764510082425,Adult,113,2,620.0,EXW,HETERO LABS LIMITED,9.527848201325206
55712,2015-05-13,0,0,0.2776317365982795,230.0,0.008064516129032258,Vietnam,2,0.0,Generic,0,Direct Drop,0,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,0.004347826086956522,Hetero Unit III Hyderabad IN,No,0,1,Tablet - FDC,113,29.0,2015,5,600/300/300mg,30,Air,1,0.15733333333333333,0.0,11.90324309374818,ARV,2.3513752571634776,0,5.1641572048611,Adult,113,2,620.0,EXW,HETERO LABS LIMITED,9.65200882504456
65033,2015-05-13,0,0,0.039220713153281295,230.0,0.008064516129032258,Vietnam,2,0.0,Generic,0,Direct Drop,0,Nevirapine,0.004347826086956522,Hetero Unit III Hyderabad IN,No,0,1,Tablet,117,29.0,2015,5,200mg,60,Air,1,0.15733333333333333,0.0,8.776630098427717,ARV,1.1505720275988207,0,2.1552445050953364,Adult,117,2,620.0,EXW,HETERO LABS LIMITED,8.006700845440367
55304,2015-05-13,0,0,0.2776317365982795,230.0,0.008064516129032258,Vietnam,2,0.0,Generic,0,Direct Drop,0,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,0.004347826086956522,Hetero Unit III Hyderabad IN,No,0,1,Tablet - FDC,117,29.0,2015,5,600/300/300mg,30,Air,1,0.15733333333333333,0.0,11.885860494296775,ARV,2.3513752571634776,0,5.146912912388804,Adult,117,2,620.0,EXW,HETERO LABS LIMITED,9.634627234324935
66264,2015-05-13,0,0,0.2776317365982795,230.0,0.008064516129032258,Vietnam,2,0.0,Generic,0,Direct Drop,0,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,0.004347826086956522,Hetero Unit III Hyderabad IN,Yes,0,1,Tablet - FDC,117,29.0,2015,5,600/300/300mg,30,Air,1,0.15733333333333333,0.0,12.036001742114703,ARV,2.3513752571634776,0,5.2962151584561665,Adult,117,2,620.0,EXW,HETERO LABS LIMITED,9.784760321267326
25323,2015-05-13,0,0,0.039220713153281295,230.0,0.008064516129032258,Vietnam,2,0.0,Generic,0,Direct Drop,0,Nevirapine,0.004347826086956522,Hetero Unit III Hyderabad IN,Yes,0,1,Tablet,113,29.0,2015,5,200mg,60,Air,1,0.15733333333333333,0.0,8.594339400592892,ARV,1.1505720275988207,0,1.9960599327407849,Adult,113,2,620.0,EXW,HETERO LABS LIMITED,7.824445930877619
