feature,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,mean_rank,rank_variance
Vendor INCO Term,1.0,1.0,1.0,1.0,3.0,1.4,0.64
Vendor,4.0,3.0,2.0,2.0,2.0,2.6,0.64
vendor_hist_volume,9.0,2.0,3.0,3.0,1.0,3.6,7.840000000000001
Country,3.0,7.0,5.0,4.0,9.0,5.6,4.640000000000001
country_hist_delay_rate,5.0,4.0,6.0,6.0,10.0,6.2,4.16
vendor_hist_delay_rate,2.0,8.0,4.0,13.0,5.0,6.4,14.64
country_hist_volume,7.0,11.0,13.0,5.0,4.0,8.0,12.0
Scheduled_Transit_Days,8.0,5.0,7.0,12.0,12.0,8.8,7.760000000000001
Forecast_Horizon_Days,10.0,10.0,10.0,9.0,6.0,9.0,2.4
Line Item Insurance (USD),16.0,6.0,8.0,10.0,8.0,9.6,11.84
Line Item Quantity,6.0,16.0,9.0,8.0,11.0,10.0,11.6
Line Item Value,11.0,22.0,11.0,11.0,16.0,14.2,18.96
country_hist_delay_median,15.0,9.0,18.0,20.0,21.0,16.6,18.64
PQ_to_PO_Days,19.0,34.0,17.0,7.0,7.0,16.8,98.56
site_hist_delay_rate,17.0,15.0,12.0,19.0,23.0,17.2,13.76
Unit Price,21.0,12.0,20.0,23.0,13.0,17.8,19.759999999999998
is_rdc_fulfillment,12.0,33.0,16.0,17.0,14.0,18.4,56.239999999999995
Pack Price,13.0,13.0,23.0,29.0,15.0,18.6,40.64
Shipment Mode,20.0,21.0,19.0,18.0,17.0,19.0,2.0
Unit of Measure (Per Pack),14.0,25.0,29.0,16.0,22.0,21.2,30.96
T_pred_month,28.0,20.0,25.0,15.0,19.0,21.4,21.04
freight_is_numeric,26.0,17.0,33.0,21.0,29.0,25.2,32.16
First Line Designation,34.0,28.0,15.0,31.0,18.0,25.2,54.96
Sub Classification,22.0,32.0,27.0,27.0,20.0,25.6,17.84
T_pred_dayofweek,31.0,29.0,22.0,22.0,24.0,25.6,13.839999999999998
Dosage Form,23.0,27.0,28.0,25.0,26.0,25.8,2.96
vendor_hist_delay_median,30.0,30.0,14.0,28.0,32.0,26.8,42.56
Product Group,35.0,19.0,26.0,30.0,25.0,27.0,28.4
Molecule/Test Type,25.0,14.0,37.0,24.0,35.0,27.0,69.2
T_pred_quarter,29.0,23.0,31.0,26.0,27.0,27.2,7.359999999999999
T_pred_year,24.0,26.0,24.0,33.0,31.0,27.6,13.84
weight_is_numeric,27.0,18.0,35.0,32.0,33.0,29.0,37.2
po_sent_is_date,32.0,37.0,30.0,14.0,35.0,29.6,66.64
Dosage,36.0,31.0,21.0,35.0,28.0,30.2,29.359999999999996
Fulfill Via,18.0,36.0,36.0,35.0,35.0,32.0,49.2
Brand,36.0,24.0,37.0,35.0,35.0,33.4,22.639999999999997
Manufacturing Site,33.0,39.0,32.0,35.0,30.0,33.8,9.360000000000001
is_pre_pq_process,36.0,35.0,37.0,34.0,34.0,35.2,1.3599999999999999
pq_first_sent_is_date,36.0,38.0,34.0,35.0,35.0,35.6,1.8399999999999999
